prix,id_produit,date_vendu
4,7,01-03-20
9,17,11-04-18
6,13,17-01-19
2,37,18-06-18
2,52,19-06-19
3,38,28-05-18
10,48,29-10-19
4,2,20-02-19
6,15,06-06-18
1,33,09-11-19
10,39,23-03-20
10,15,29-05-19
9,48,13-05-18
3,7,18-05-18
5,56,02-08-18
3,39,10-03-19
6,55,16-09-18
4,10,10-09-19
6,22,24-08-19
4,32,18-02-20
4,40,27-02-20
5,18,26-01-19
2,51,04-08-18
2,16,16-01-19
8,11,12-01-19
6,22,08-09-18
2,54,18-02-20
5,40,02-07-19
10,51,16-09-18
1,55,21-07-18
5,26,12-05-19
5,25,25-03-20
8,41,12-04-18
8,6,18-01-19
8,42,18-08-19
2,20,30-05-18
9,44,22-07-19
8,44,03-06-19
9,18,15-08-18
7,12,02-11-18
5,13,05-02-20
8,21,09-07-19
7,38,01-01-20
1,13,30-09-18
5,35,14-06-19
3,45,01-08-19
10,19,21-09-18
6,15,06-02-20
1,13,05-05-18
10,27,25-01-19
2,15,05-12-19
1,29,10-06-19
8,49,13-05-18
1,25,07-03-20
2,10,24-01-20
7,16,06-06-18
5,50,23-10-18
5,48,10-10-18
4,36,23-11-19
2,2,08-02-19
8,43,13-07-19
9,42,23-11-18
10,32,21-03-20
4,45,17-07-19
2,15,10-06-19
6,56,28-05-18
4,48,05-02-19
5,10,23-09-18
6,52,23-05-19
2,44,04-10-18
10,56,22-02-20
4,11,17-11-18
9,42,10-07-19
10,4,12-05-18
2,43,17-07-18
9,28,13-09-19
10,5,10-06-19
9,53,05-03-20
3,41,20-09-18
9,36,11-08-19
10,41,01-09-19
10,5,23-04-19
8,1,27-05-19
4,12,07-05-19
8,19,05-02-20
8,2,03-08-19
8,15,27-05-19
4,6,25-10-19
5,7,24-10-19
4,7,29-10-19
7,48,11-01-19
7,27,12-11-19
5,53,07-11-18
1,52,23-07-19
8,24,24-08-19
1,23,09-04-19
6,31,19-12-18
4,13,20-04-18
3,5,27-03-19
5,47,19-06-19
3.05,1,01-05-21
5.00,2,01-05-21
6.00,3,01-05-21
2.55,4,01-05-21
6.00,5,01-05-21
2.55,6,01-05-21
2.55,7,01-05-21
2.55,8,01-05-21
6.00,9,01-05-21
4.99,10,01-05-21
4.99,11,01-05-21
2.99,12,01-05-21
9.99,13,01-05-21
6.00,14,01-05-21
6.00,15,01-05-21
4.99,16,01-05-21
4.99,17,01-05-21
6.00,18,01-05-21
1.99,19,01-05-21
3.05,20,01-05-21
5.00,21,01-05-21
6.00,22,01-05-21
2.55,23,01-05-21
6.00,24,01-05-21
2.55,25,01-05-21
2.55,26,01-05-21
2.55,27,01-05-21
6.00,28,01-05-21
4.99,29,01-05-21
4.99,30,01-05-21
2.99,31,01-05-21
9.99,32,01-05-21
6.00,33,01-05-21
6.00,34,01-05-21
4.99,35,01-05-21
4.99,36,01-05-21
6.00,37,01-05-21
1.99,38,01-05-21
3.05,39,01-05-21
5.00,40,01-05-21
6.00,41,01-05-21
2.55,42,01-05-21
6.00,43,01-05-21
2.55,44,01-05-21
2.55,45,01-05-21
2.55,46,01-05-21
6.00,47,01-05-21
4.99,48,01-05-21
4.99,49,01-05-21
2.99,50,01-05-21
9.99,51,01-05-21
6.00,52,01-05-21
6.00,53,01-05-21
4.99,54,01-05-21
4.99,55,01-05-21
6.00,56,01-05-21
1.99,57,01-05-21
13,58,12-09-20
26,59,14-07-19
11,60,22-06-19
30,61,09-10-16
1,62,11-02-19
17,63,20-05-19
15,64,27-01-18
36,65,27-08-17
14,66,07-08-20
29,67,18-03-20
38,68,05-05-16
6,69,07-08-18
8,70,27-05-16
9,71,29-05-16
38,72,17-02-17
19,73,07-03-17
1,74,10-02-20
13,75,27-09-15
11,76,18-06-20
29,77,20-12-18
8,78,30-01-19
27,79,16-12-19
40,80,10-11-16
27,81,11-02-21
8,82,02-07-20
27,83,10-02-17
7,84,10-01-21
8,85,17-09-15
23,86,06-06-16
36,87,25-01-19
6,88,16-04-17
35,89,19-11-19
11,90,14-05-19
34,91,06-03-20
37,92,29-10-20
21,93,03-11-19
40,94,17-03-19
2,95,15-03-20
14,96,04-06-18
16,97,29-06-16
20,98,25-06-17
18,99,18-04-18
22,100,20-05-20
29,101,08-02-19
24,102,18-05-15
6,103,10-07-17
16,104,17-03-19
13,105,29-07-18
37,106,07-05-17
7,107,25-03-17
24,108,19-09-15
17,109,05-06-15
32,110,22-02-20
21,111,25-01-20
21,112,18-10-18
4,113,21-05-17
20,114,12-09-17
23,115,17-07-19
13,116,24-01-19
37,117,02-05-16
11,118,29-11-19
36,119,13-03-16
19,120,20-08-17
23,121,11-07-18
27,122,10-08-19
20,123,20-09-18
12,124,26-09-16
6,125,30-12-16
5,126,23-10-17
13,127,05-07-15
19,128,04-10-16
18,129,25-01-17
34,130,02-12-17
31,131,18-11-19
11,132,02-05-20
15,133,25-02-18
15,134,20-08-20
40,135,28-11-15
19,136,19-03-17
7,137,25-03-20
35,138,06-08-15
17,139,03-09-16
26,140,25-11-20
17,141,05-06-18
21,142,09-11-15
40,143,03-09-20
2,144,13-06-16
6,145,30-12-15
40,146,21-08-15
2,147,29-08-17
36,148,09-06-20
10,149,05-03-16
4,150,09-07-18
27,151,30-10-15
2,152,09-05-17
4,153,10-10-15
36,154,19-12-20
18,155,17-01-16
16,156,28-08-15
19,157,16-09-20
8,158,17-01-21
8,159,17-07-19
38,160,14-10-18
19,161,26-09-16
32,162,04-01-18
15,163,03-02-16
23,164,12-04-21
20,165,28-10-19
3,166,13-07-17
27,167,02-11-18
20,168,14-08-16
9,169,08-05-16
27,170,10-10-17
7,171,29-12-16
9,172,20-04-20
21,173,21-08-18
38,174,18-10-18
1,175,04-01-19
21,176,15-03-17
5,177,24-11-18
24,178,08-03-17
3,179,01-07-19
38,180,12-11-20
16,181,28-11-16
40,182,16-08-20
32,183,19-10-15
35,184,18-02-17
1,185,26-05-16
17,186,05-02-16
37,187,02-02-21
27,188,12-10-16
33,189,27-10-16
31,190,22-12-18
28,191,25-01-19
5,192,27-02-19
16,193,03-12-17
5,194,13-11-18
36,195,04-10-18
10,196,27-06-15
34,197,20-12-19
19,198,04-09-16
12,199,04-07-16
39,200,21-12-19
11,201,10-10-20
32,202,05-03-16
25,203,02-05-19
34,204,30-05-15
2,205,02-06-18
8,206,11-02-19
22,207,28-09-15
35,208,16-10-20
29,209,01-12-19
22,210,18-01-19
38,211,04-05-19
10,212,26-08-17
24,213,28-03-18
36,214,21-01-16
18,215,10-09-17
6,216,26-07-17
13,217,23-08-19
11,218,26-10-18
29,219,12-03-21
12,220,30-11-15
29,221,25-11-19
15,222,04-04-20
5,223,05-11-16
22,224,24-10-16
30,225,08-08-20
15,226,21-12-16
9,227,18-06-19
26,228,19-02-17
16,229,17-07-18
4,230,25-01-17
14,231,15-01-21
38,232,14-02-21
5,233,11-11-19
38,234,30-09-17
20,235,24-06-20
22,236,03-07-19
32,237,11-01-18
1,238,10-05-17
15,239,04-06-19
12,240,27-01-16
5,241,25-06-19
29,242,20-05-16
28,243,18-04-18
32,244,27-10-16
12,245,20-05-20
8,246,14-12-19
22,247,15-11-16
39,248,07-12-19
9,249,21-08-18
3,250,21-05-17
12,251,16-12-19
34,252,29-01-21
36,253,22-01-19
1,254,10-06-15
17,255,30-12-16
7,256,16-11-17
14,257,26-12-16
2,258,11-07-16
11,259,30-03-17
34,260,15-12-15
3,261,13-06-19
27,262,12-03-19
12,263,31-01-18
10,264,21-02-18
25,265,03-03-18
19,266,24-10-16
13,267,18-04-17
18,268,03-05-16
11,269,12-06-18
39,270,01-09-15
12,271,19-03-20
1,272,09-12-15
29,273,30-09-18
37,274,11-11-15
14,275,02-09-19
35,276,14-01-18
30,277,26-08-20
24,278,01-04-16
25,279,23-11-16
10,280,16-09-15
1,281,09-08-15
11,282,01-06-15
6,283,17-01-20
28,284,28-07-18
4,285,01-08-18
5,286,21-04-21
33,287,20-08-15
33,288,15-06-20
35,289,12-06-18
29,290,23-04-17
21,291,08-04-16
28,292,03-08-15
3,293,27-08-17
19,294,11-01-16
18,295,16-06-18
9,296,15-04-20
14,297,22-02-21
13,298,17-11-18
11,299,14-12-19
15,300,29-06-17
12,301,28-10-15
11,302,14-09-16
32,303,19-11-17
16,304,28-11-17
37,305,30-11-15
31,306,13-07-19
36,307,10-01-19
30,308,01-11-15
18,309,17-02-19
27,310,04-04-16
5,311,25-04-19
31,312,17-10-17
9,313,22-06-16
6,314,30-09-15
22,315,06-07-19
32,316,12-02-21
9,317,25-08-18
30,318,30-07-19
23,319,16-12-17
