id_cmd,id_produit
2,29
5,28
7,19
4,1
6,12
9,39
6,1
2,1
7,12
6,44
7,2
8,5
10,30
7,14
4,24
8,32
1,47
6,56
3,16
2,36
10,5
2,21
1,16
4,47
4,43
7,14
6,46
4,44
5,22
2,46
3,3
1,6
5,18
1,46
8,12
1,24
1,46
9,12
8,51
3,17
2,28
8,52
5,38
7,15
6,10
6,15
4,35
2,5
2,50
7,27
2,20
3,38
10,55
3,9
5,1
10,3
10,33
8,21
1,20
2,38
10,48
6,16
2,17
6,41
1,7
9,47
9,54
6,27
4,5
3,1
8,31
5,26
4,43
1,32
8,50
1,36
2,48
7,15
10,20
7,25
3,56
7,10
2,53
5,10
10,27
2,56
1,49
3,20
3,46
2,36
2,50
6,4
8,48
1,16
2,27
10,20
7,57
10,32
2,41
10,35
11,208
12,587
13,471
14,597
15,94
16,160
17,464
18,461
19,427
20,197
21,457
22,60
23,423
24,413
25,120
26,587
27,441
28,114
29,591
30,142
31,338
32,374
33,342
34,109
35,544
36,442
37,278
38,209
39,219
40,361
41,268
42,236
43,121
44,68
45,333
46,103
47,599
48,100
49,313
50,555
51,75
52,517
53,458
54,522
55,247
56,212
57,63
58,354
59,158
60,321
61,513
62,177
63,572
64,392
65,204
66,227
67,418
68,558
69,316
70,62
71,119
72,455
73,296
74,66
75,105
76,260
77,286
78,395
79,323
80,335
81,351
82,66
83,287
84,497
85,167
86,447
87,557
88,594
89,582
90,453
91,344
92,177
93,376
94,74
95,216
96,353
97,373
98,497
99,58
100,391
101,281
102,468
103,495
104,500
105,94
106,234
107,94
108,476
109,297
110,82
111,113
112,165
113,364
114,405
115,508
116,166
117,388
118,374
119,266
120,556
121,583
122,374
123,356
124,353
125,156
126,272
127,416
128,600
129,186
130,402
131,178
132,445
133,521
134,312
135,450
136,421
137,441
138,69
139,121
140,598
141,514
142,362
143,453
144,421
145,341
146,155
147,286
148,176
149,349
150,256
151,65
152,148
153,512
154,476
155,578
156,240
157,111
158,383
159,191
160,169
161,446
162,103
163,407
164,587
165,376
166,93
167,105
168,175
169,551
170,355
171,372
172,142
173,147
174,125
175,177
176,231
177,77
178,486
179,72
180,454
181,340
182,200
183,255
184,454
185,66
186,242
187,498
188,499
189,470
190,352
191,414
192,75
193,160
194,386
195,434
196,161
197,217
198,246
199,259
200,152
201,178
202,391
203,289
204,217
205,443
206,281
207,165
208,264
209,526
210,553
211,426
212,400
213,504
214,579
215,308
216,295
217,295
218,348
219,600
220,430
221,396
222,428
223,331
224,213
225,80
226,127
227,68
228,87
229,74
230,247
231,548
232,336
233,132
234,343
235,569
236,513
237,225
238,561
239,273
240,357
241,461
242,423
243,325
244,134
245,543
246,440
247,348
248,144
249,325
250,587
251,520
252,201
253,267
254,500
255,472
256,331
257,225
258,180
259,202
260,190
261,550
262,70
263,117
264,449
265,318
266,369
267,169
268,191
269,395
270,483
271,373
272,567
273,498
274,504
275,297
276,469
277,374
278,359
279,284
280,452
281,304
282,523
283,542
284,305
285,416
286,161
287,119
288,507
289,385
290,421
291,401
292,511
293,585
294,132
295,425
296,479
297,338
298,586
299,89
300,201
301,347
302,67
303,189
304,567
305,307
306,494
307,474
308,558
309,118
310,415
311,535
312,577
313,97
314,111
315,334
316,372
317,468
318,229
319,508
320,279
321,158
322,67
323,154
324,62
325,337
326,594
327,143
328,102
329,577
330,519
331,393
332,235
333,133
334,473
335,351
336,382
337,502
338,538
339,574
340,584
341,211
342,132
343,528
344,504
345,418
346,545
347,544
348,59
349,557
350,457
351,117
352,207
353,434
354,203
355,124
356,348
357,391
358,145
359,201
360,510
361,371
362,139
363,522
364,400
365,569
366,415
367,559
368,198
369,108
370,383
371,279
372,551
373,170
374,70
375,504
376,479
377,86
378,149
379,436
380,404
381,126
382,424
383,92
384,522
385,62
386,91
387,319
388,589
389,579
390,582
391,174
392,221
393,393
394,380
395,463
396,201
397,85
398,140
399,236
400,398
401,546
402,528
403,347
404,86
405,199
406,470
407,70
408,190
409,414
410,326
411,420
412,162
413,88
414,253
415,599
416,89
417,432
418,396
419,583
420,477
421,320
422,439
423,172
424,93
425,396
426,131
427,70
428,305
429,196
430,308
431,532
432,554
433,285
434,331
435,69
436,157
437,168
438,175
439,67
440,345
441,109
442,453
443,579
444,451
445,570
446,289
447,490
448,361
449,281
450,264
451,542
452,485
453,297
454,89
455,519
456,431
457,525
458,560
459,258
460,242
461,508
462,189
463,341
464,543
465,431
466,232
467,236
468,417
469,336
470,266
471,183
472,348
473,359
474,69
475,302
476,508
477,409
478,566
479,545
480,125
481,423
482,125
483,203
484,452
485,234
486,161
487,527
488,481
489,495
490,481
491,469
492,66
493,366
494,524
495,369
496,457
497,545
498,576
499,153
500,62
501,358
502,345
503,563
504,419
505,189
506,251
507,506
508,106
509,133
510,459
