id_produit,id_matiere
33,5
4,3
36,6
43,1
22,6
15,1
23,3
45,4
39,6
15,3
56,3
37,3
11,1
8,5
10,3
41,2
15,2
21,2
40,3
29,2
53,4
38,6
40,4
56,2
20,4
22,2
31,6
18,4
37,6
10,6
11,3
52,6
29,1
29,5
8,6
41,6
18,1
42,2
45,5
47,6
11,5
55,5
36,4
6,4
8,4
19,4
7,3
13,4
40,6
33,6
51,1
18,5
35,4
6,5
37,6
25,5
1,5
16,1
17,2
48,2
21,2
33,4
44,5
4,3
6,3
9,2
37,2
44,3
4,4
51,6
53,3
6,4
32,1
36,6
12,1
55,3
18,1
16,2
24,1
4,1
18,3
39,3
1,6
41,6
45,4
49,2
1,2
4,4
13,6
22,6
21,2
46,2
56,4
30,2
13,6
9,2
4,3
49,1
23,6
14,3
4,2
4,6
4,5
