id_cmd,id_produit
88,45
52,8
21,4
64,25
96,15
67,26
85,35
85,31
32,4
73,38
79,38
24,15
56,2
80,21
4,24
22,33
30,4
79,15
55,33
47,48
39,47
27,56
6,46
25,10
7,34
24,31
94,54
75,6
82,51
33,26
35,7
76,57
26,35
28,23
47,4
89,38
86,15
46,39
43,28
81,21
7,20
70,28
47,13
25,34
46,15
1,53
53,47
55,33
89,42
24,49
85,22
47,12
92,3
91,31
9,57
85,57
3,7
20,8
51,23
84,52
70,54
5,55
40,15
7,44
75,37
51,50
3,55
84,51
19,50
51,4
43,26
19,36
43,12
66,19
78,22
3,26
47,11
86,9
77,45
31,22
74,30
44,13
56,15
59,27
21,53
9,45
90,55
76,16
42,45
90,21
66,17
96,57
15,8
69,11
79,49
32,57
43,27
93,21
62,10
10,2
