id_produit,id_client,quantite
51,60,9
5,23,8
26,64,6
56,17,6
16,58,6
53,82,4
26,28,2
9,93,9
7,88,1
30,64,10
35,28,4
18,90,3
36,79,1
24,57,8
53,24,10
14,21,2
22,75,4
8,4,6
16,20,4
27,54,9
56,29,9
2,88,7
43,22,9
37,2,1
1,35,3
11,88,8
2,3,3
27,30,8
23,10,5
9,81,2
30,7,5
36,24,6
25,51,5
45,63,3
56,28,8
39,14,8
37,68,10
48,4,2
35,44,4
45,80,8
20,99,1
15,74,4
33,82,2
16,92,6
53,52,7
27,53,2
35,62,9
43,89,4
35,34,2
21,93,8
43,86,4
1,41,8
54,97,4
50,92,1
54,7,3
35,58,5
30,7,9
1,96,2
19,28,7
47,79,1
17,95,3
4,30,9
9,4,1
19,46,4
56,15,9
17,56,9
19,59,4
8,64,1
31,68,8
26,24,3
43,41,8
32,63,7
56,91,7
41,8,3
33,24,7
51,31,4
1,39,10
21,85,7
21,56,5
47,98,5
50,39,3
18,18,5
4,33,5
47,9,5
24,68,6
42,70,1
53,68,5
20,88,10
50,75,5
50,50,9
19,97,10
53,89,9
37,10,7
20,8,1
3,63,6
51,34,1
55,60,3
51,59,10
36,74,4
36,54,8
